Fichier;Vol;Surf;Lng_BBox;Lrg_BBox;Ht_BBox;Faces;Aretes;Sommets;Cluster;PCA1;PCA2;tSNE1;tSNE2
AR00000081181.stp;1034015.0184891674;166197.10505282544;285.89230504506804;199.0000284592312;285.000000200302;213;624;414;2;1.0958858145352623;0.11455285592727639;0.5283766;-1.3563176
AR00000081182.stp;1034015.0278129597;166197.10695295825;285.89230504506884;199.000084976349;285.00000020000056;213;624;414;2;1.0958859463131068;0.11455302825832737;0.688988;-1.3986397
AR00000233649--D.stp;7930358.549931483;1821287.4491940702;579.0000001000001;526.5000001001271;539.50030535205;608;1574;1034;4;9.38361162120186;-2.0893251258155816;1.7053895;-1.6623926
AR00000242305.stp;467805.1823168421;175927.3090305876;519.4287748047365;247.3484140517;279.98279501426964;205;521;322;2;1.2578280772963657;-0.7211000310604646;0.75752914;-1.1192005
AR00000242310.stp;280222.0246564739;104818.9736609021;290.0000002;227.0000002;25.000000200000088;114;304;184;5;-0.48393925266578497;0.15186809124098066;0.4089863;-0.9264848
AR00000242311.stp;440139.03948706225;173097.75515747606;290.0000002;432.7006642284049;25.19615252271;270;846;564;6;1.5298446868406013;1.671481359832682;0.4383496;-1.5535456
AR00000242312.stp;76084.77843828716;30471.070419635675;144.0;44.0;80.0;44;132;88;0;-1.666116407182695;-0.05477507386028305;0.090192854;-0.71503794
AR00000242313.stp;83181.23758430136;33534.100479765126;201.87433801010758;66.0000001;177.8746869432;96;264;170;5;-0.9405795222746309;-0.08849247025381071;0.31165916;-0.7397919
AR00000243830.stp;217111.26830967993;84268.94128058395;320.6165176675716;205.00000000000003;151.10100716662964;112;318;210;5;-0.2173796943834392;-0.11096728472244208;0.32362083;-1.103214
AR00000244409.stp;167870.42215944402;62715.24170448465;245.0000002;86.63181152321988;187.78103832612916;100;266;168;5;-0.7276794241433899;-0.262857250733631;0.29864413;-0.8362558
AR00000244410.stp;184619.48230396654;68574.73288552575;277.6283070703832;56.9801998456015;187.0866130910337;106;288;184;5;-0.6655018598553885;-0.4628959672070235;0.38105524;-0.90593445
AR00000244733_A.stp;176202.55152440997;83296.27257274039;201.726535687869;232.00004670531408;237.70000009999998;184;488;312;2;0.2619307803670662;0.7239952540247282;0.40930027;-1.1978883
M3D-154775_--A_CATPART_0.stp;505550.2990794958;41976.49519748315;47.0;160.0;68.0;10;24;16;0;-1.777707272833023;0.39019699232090643;-0.14766718;-0.91862583
M3D-179795_--A_CATPART_1.stp;203512.4926066846;30630.913846511543;295.0;30.0;30.0;8;14;9;5;-1.7956157492804976;-0.9360187653508327;0.15561245;-0.6185484
M3D-180570_--A_CATPART_1.stp;52645.43365833671;9823.926154472698;35.0;45.0;35.0;8;18;12;0;-2.2916184199051313;0.2736101308503913;-0.21649028;-0.86822027
M3D-207364_--A_CATPART_1.stp;129087.2487115307;38569.31421357106;112.0;201.0;8.0;10;24;16;0;-1.7804227296588053;0.42793832944317994;-0.14797434;-0.8370866
M3D-207789_--A_CATPART_1.stp;194166.0658406274;76028.54911207221;372.9622467619525;115.00030337638762;150.05153342397426;130;336;208;5;-0.2837482456995533;-0.5601735403041908;0.44933686;-0.9578683
M3D-207845_--A_CATPART_1.stp;190235.49791257991;74909.94085695593;114.0000001;381.9901527697316;150.0000002;133;345;214;7;-0.14465527469141545;1.3873618636450802;0.15237771;-1.4039942
M3D-208792_--A_CATPART_1.stp;33503.7586346218;25367.567091131237;150.00000009806445;86.00000002110004;45.000004470136105;92;246;164;0;-1.3179278720216014;0.3334796553717593;0.11807417;-0.7198257
M3D-217565_--A_CATPART_1.stp;1569662.0454243745;115000.98581023619;395.0000002;68.0000001;70.0000002;18;48;32;5;-0.9172930720141654;-1.7179082670183856;0.31246126;-0.6837738
M3D-217571_--A_CATPART_1.stp;58816.78190613676;9993.318423537025;50.0;67.00000000002363;50.0;20;38;21;0;-2.122088264077294;0.30209015614455714;-0.18144076;-0.9862524
M3D-217578_--A_CATPART_1.stp;451928.9948016949;73295.3892926998;310.00000020000004;25.00000020000016;150.00000010000002;48;130;86;5;-1.1080516593220306;-1.0408291964096812;0.39945468;-0.6231653
M3D-217580_--A_CATPART_1.stp;175685.8347057703;22267.255756846316;130.0;60.0;25.0;6;12;8;0;-2.071445211718663;-0.12987641140805237;-0.08769068;-0.64370793
M3D-217582_--A_CATPART_1.stp;412304.1906534512;56479.55272623731;60.0;188.0;60.0;7;12;8;0;-1.740508950282527;0.4269680774097907;-0.11073664;-0.9032299
M3D-217583_--A_CATPART_1.stp;389661.1616027028;57891.69862402592;60.0;188.0;60.0;6;12;8;0;-1.746526115342764;0.4311795947916017;-0.23317657;-0.85634774
M3D-217585_--A_CATPART_1.stp;202746.86811963833;24724.547536350216;70.0;70.0;75.0000000000034;15;28;17;0;-2.0010759391324258;0.12436954756321118;-0.25150913;-0.86631024
M3D-217586_--A_CATPART_1.stp;413464.5943005142;33909.73355292325;50.00000000000001;125.0;70.0;10;24;16;0;-1.8792730391764725;0.30146609203299346;-0.11371249;-0.90069044
M3D-223778_C.stp;866049.979690927;137832.47898603728;294.0;158.0;193.0;86;244;162;5;-0.263551123341666;-0.5765709554401006;0.47117883;-0.8969066
M3D-223779_C.stp;866049.979690927;137832.47898603728;294.0;158.0;193.0;86;244;162;5;-0.263551123341666;-0.5765709554401006;0.47117883;-0.8969066
M3D-224710_B.stp;4259958.202966455;700505.0071792915;352.0;242.00000010006184;575.0000001;170;446;296;3;2.921060095373585;-2.1125397137775446;1.2898892;-1.0168375
M3D-224712_B.stp;4259958.202966454;700505.0071792916;352.0;242.00000010006184;575.0000001;170;446;296;3;2.9210600953735852;-2.1125397137775446;1.2898892;-1.0168375
M3D-226629_--B_CATPART_1.stp;135714.4473888326;17707.279082298897;60.0;40.0;60.0;10;24;16;0;-2.1595778624288324;0.10419005653615854;-0.17327964;-0.7646871
M3D-229153_--A_CATPART_1.stp;1063748.7884195;259222.92303214016;232.46979864192815;298.00000000015;306.0;112;288;194;2;0.5157703002419792;-0.0653958019398724;0.28565845;-1.3348321
M3D-233740.stp;330583.4154251802;99671.99352648445;220.11482767473433;155.46481566124334;231.0;99;275;184;5;-0.41661502460883415;-0.0508905824976331;0.31499693;-1.087511
M3D-239729.stp;1197459.500052085;126148.62089081587;232.0000002891;170.00000016739997;171.00000014700132;56;162;108;5;-0.5573068828960458;-0.5017760910125175;0.16071498;-1.0572777
M3D-242325_-A.stp;299175.02503701503;83756.9522092441;325.0000000427712;8.000977324502163;208.29385024299592;38;104;68;5;-1.0981250658085935;-1.2325090263872394;0.39218318;-0.64974207
M3D-242439_A.stp;50326.68543599274;36417.99661041002;131.44395684551853;85.24844288660046;139.30000000000007;68;186;124;0;-1.3164643676157644;0.17619314481586046;0.0144226365;-0.9283384
M3D-242943_B - PLAQUE SUPPORT POUR CAPOT ALSTOM.stp;881581.0954674889;284979.7747295418;58.0;630.0;245.0;311;914;612;6;2.4632081413824825;2.9555790609155213;0.507934;-1.8274913
M3D-245854_--A.stp;111207.41573302334;52914.7343773418;446.5000002;100.00417511672964;110.0000002;96;218;124;5;-0.6227706719696867;-1.0445637618790686;0.4823948;-0.7737467
