,Date,AR00000081181,AR00000081182,AR00000233649--D,AR00000242305,AR00000242311,AR00000244733_A,M3D-217565_--A_CATPART_1,M3D-229153_--A_CATPART_1,M3D-242943_B - PLAQUE SUPPORT POUR CAPOT ALSTOM,M3D-253216_--B_CATPART_1,AR00000242310,AR00000242312,AR00000242313,AR00000243830,AR00000244409,AR00000244410,M3D-154775_--A_CATPART_0,M3D-179795_--A_CATPART_1,M3D-180570_--A_CATPART_1,M3D-207364_--A_CATPART_1,M3D-207789_--A_CATPART_1,M3D-208792_--A_CATPART_1,M3D-217571_--A_CATPART_1,M3D-217578_--A_CATPART_1,M3D-217580_--A_CATPART_1,M3D-217582_--A_CATPART_1,M3D-217583_--A_CATPART_1,M3D-217585_--A_CATPART_1,M3D-217586_--A_CATPART_1,M3D-223778_C,M3D-223779_C,M3D-226629_--B_CATPART_1,M3D-233740,M3D-239729,M3D-242325_-A,M3D-242439_A,M3D-245854_--A,M3D-246952_--A_CATPART_1,M3D-207845_--A_CATPART_1,M3D-248213_A,M3D-248214_A,M3D-224710_B,M3D-224712_B,M3D-246137_--A_CATPART_1,M3D-252795_--A_CATPART_0
0,2010-01-01,56.28,145.58,124.49,143.1,114.68,102.23,146.12,135.03,112.05,149.35,84.5,96.51,135.85,67.99,93.04,118.66,93.61,52.07,117.81,96.41,90.04,121.45,58.54,114.0,122.87,140.3,146.68,134.06,98.36,63.72,103.49,136.73,51.46,62.25,70.63,62.55,72.04,51.32,78.27,54.06,147.33,52.22,118.14,103.03,116.1
1,2011-01-01,60.03,148.21,127.63,140.82,119.69,104.83,149.94,133.9,109.98,146.89,84.11,102.84,150.33,72.61,91.92,126.22,103.19,54.91,130.78,100.7,93.18,134.83,60.2,116.52,128.33,141.03,153.0,145.08,97.45,69.48,104.62,149.28,51.64,68.8,71.11,65.4,71.68,54.08,83.21,57.98,145.64,54.42,127.36,102.5,121.0
2,2012-01-01,65.88,148.17,131.32,137.82,118.86,102.47,147.21,137.68,108.78,152.73,88.31,108.9,164.86,74.0,95.88,130.44,113.24,56.55,136.11,106.87,96.18,147.85,60.13,120.15,134.99,142.49,154.26,152.55,97.93,75.19,109.32,148.52,52.42,74.93,76.62,71.5,71.68,59.15,83.7,57.51,146.71,56.96,133.8,100.77,120.51
3,2013-01-01,64.29,148.56,129.91,142.6,117.34,102.26,143.95,140.95,111.7,151.04,89.72,114.91,170.95,77.74,100.75,134.74,110.47,58.32,140.99,110.21,103.03,152.17,59.0,126.24,138.6,154.26,158.95,156.92,103.67,78.83,109.33,156.3,54.47,83.28,84.26,72.57,70.8,61.47,85.33,56.47,150.47,58.4,147.03,100.5,123.31
4,2014-01-01,69.03,162.98,133.27,139.34,114.81,105.62,141.28,139.36,110.31,154.53,94.36,121.87,183.38,79.95,106.82,132.7,116.01,64.81,149.96,108.09,113.51,160.75,60.2,129.91,135.63,159.32,167.79,167.48,107.71,77.61,114.76,167.04,60.34,87.3,88.61,75.22,69.77,63.82,89.52,58.17,161.53,60.78,159.92,104.17,121.03
5,2015-01-01,73.38,171.27,138.23,142.68,114.19,109.33,145.86,137.01,109.94,152.16,98.38,125.47,193.73,86.89,115.19,142.75,122.44,68.37,154.28,113.34,118.87,158.75,66.62,134.93,144.92,157.46,173.4,177.99,115.89,83.32,127.22,172.75,63.0,93.97,89.44,80.0,76.88,67.1,89.34,59.56,171.14,63.81,176.11,103.51,119.46
6,2016-01-01,81.44,173.06,136.98,148.6,113.99,108.07,150.9,140.43,109.08,158.55,101.68,128.46,189.4,90.9,123.89,143.02,120.69,74.88,162.35,112.57,122.6,177.71,74.51,143.97,149.55,153.62,170.1,187.72,118.47,83.98,133.49,173.78,63.07,98.12,89.65,84.39,84.09,67.35,91.99,61.07,176.06,66.16,179.46,106.82,124.46
7,2017-01-01,90.6,170.83,134.94,147.83,113.62,111.03,149.17,139.75,106.63,156.83,113.47,139.91,200.58,92.03,137.96,146.47,126.65,75.14,165.84,109.88,121.96,177.64,78.31,152.43,165.53,169.83,187.23,187.6,126.15,87.91,140.78,185.9,66.14,105.54,97.51,85.24,93.84,68.92,90.64,60.83,173.66,66.92,185.07,105.32,129.36
8,2018-01-01,87.91,189.14,133.88,146.9,117.39,114.87,154.3,143.66,111.1,153.83,120.97,143.95,209.51,92.86,139.18,155.9,130.3,77.46,173.38,115.82,122.58,198.49,83.29,168.12,177.95,167.54,196.06,187.99,131.52,97.82,154.88,181.93,73.17,103.71,100.21,95.46,98.16,67.7,90.2,64.98,182.47,73.98,185.37,108.99,126.57
9,2019-01-01,94.67,184.51,133.22,153.31,120.91,117.77,150.92,140.57,110.95,159.82,124.13,143.19,230.67,101.94,142.88,165.01,141.8,82.0,187.41,116.44,136.31,195.22,88.53,178.54,183.34,175.54,207.39,196.78,132.62,107.58,170.75,185.65,77.5,106.08,103.19,101.41,107.73,75.57,94.11,68.24,183.8,79.24,185.97,112.89,130.63
