,Date,AR00000081181,AR00000081182,AR00000244733_A,AR00000205467,AR00000228600,AR00000242310,AR00000242312,AR00000242313,AR00000243830,AR00000244409,AR00000244410,M3D-138239........A--RELFBO--A0..RELMETHOD___RENFORT_ANTI-GALOP,M3D-138242........A--RELFBO--A0..RELMETHOD___RENFORT_PRIMAIRE_INTERIEUR_,M3D-138243........A--RELFBO--A0..RELMETHOD___RENFORT_DE_LONGERON__PARTIE,M3D-143982-BOSSAGE EP 20 3 TROUS M10,M3D-149348,M3D-154775_--A_CATPART_0,M3D-162850_--A_CATPART_0,M3D-179795_--A_CATPART_1,M3D-180570_--A_CATPART_1,M3D-184607,M3D-199690_--A_CATPART_0,M3D-207364_--A_CATPART_1,M3D-207789_--A_CATPART_1,M3D-208792_--A_CATPART_1,M3D-210525_--A_CATPART_1,M3D-217565_--A_CATPART_1,M3D-217571_--A_CATPART_1,M3D-217578_--A_CATPART_1,M3D-217580_--A_CATPART_1,M3D-217582_--A_CATPART_1,M3D-217583_--A_CATPART_1,M3D-217585_--A_CATPART_1,M3D-217586_--A_CATPART_1,M3D-223778_C,M3D-223779_C,M3D-226629_--B_CATPART_1,M3D-232788_A,M3D-233740,M3D-239729,M3D-242325_-A,M3D-242439_A,M3D-245854_--A,M3D-246952_--A_CATPART_1,M3D-247463,M3D-251673_A,M3D-251685_A,M3D-254068_--A_CATPART_1,M3D-255974_B,AR00000206023,AR00000233649--D,AR00000238840,AR00000242305,AR00000242311,M3D-144820-B,M3D-229153_--A_CATPART_1,M3D-242943_B - PLAQUE SUPPORT POUR CAPOT ALSTOM,M3D-250437_G,M3D-253216_--B_CATPART_1,M3D-255359_--A_CATPART_0,M3D-207845_--A_CATPART_1,M3D-248213_A,M3D-248214_A,M3D-224710_B,M3D-224712_B,M3D-246137_--A_CATPART_1,M3D-252795_--A_CATPART_0
0,2010-01-01,120.99,131.29,73.1,119.0,140.0,87.26,128.29,56.95,56.02,142.66,99.75,132.58,50.05,101.48,105.81,70.72,116.38,80.5,140.93,85.57,112.82,89.65,74.79,77.2,75.19,67.68,96.03,64.34,60.18,75.2,147.93,59.86,114.59,115.45,54.87,76.59,115.2,123.25,140.91,107.27,70.24,105.57,144.66,65.71,107.28,115.73,60.1,143.36,113.83,107.78,135.89,147.93,84.75,125.35,114.16,82.84,137.56,144.78,75.66,135.58,85.93,133.38,111.6,125.2,115.63,91.64,56.43
1,2011-01-01,116.7,137.48,71.1,115.8,147.22,85.16,133.03,58.99,58.2,149.08,97.95,128.11,48.46,105.47,110.95,68.26,114.23,84.46,147.04,83.15,108.86,87.31,73.45,75.74,78.64,71.11,94.16,63.07,63.14,73.61,153.58,57.95,119.02,111.65,53.02,80.35,121.15,128.03,136.76,112.02,73.81,110.38,141.85,68.84,103.99,113.13,62.38,138.25,118.23,113.82,147.35,161.29,85.12,136.11,113.43,85.51,142.7,148.85,79.24,140.09,88.72,139.09,115.73,126.95,118.59,94.21,57.45
2,2012-01-01,125.06,135.68,68.68,120.44,153.07,88.97,139.66,61.67,56.99,154.54,101.76,134.26,47.02,110.03,116.49,71.74,120.32,88.03,141.8,80.99,112.85,85.47,72.06,79.7,75.91,69.64,91.42,60.84,61.5,71.13,150.23,60.12,124.41,116.06,55.37,77.84,127.42,133.42,142.37,117.05,77.14,115.1,147.91,66.78,108.0,118.78,65.3,135.74,123.07,118.88,158.25,162.07,92.3,137.76,114.55,87.66,146.41,155.44,82.21,139.89,90.26,144.78,115.27,126.49,129.28,93.59,58.87
3,2013-01-01,121.99,133.89,74.64,125.95,148.26,85.97,136.15,64.18,59.13,161.19,106.25,139.64,49.52,107.54,120.92,74.32,117.23,86.0,149.3,79.57,118.59,88.69,75.32,76.97,78.81,72.73,95.01,58.94,59.35,69.82,156.08,63.29,129.4,121.5,53.52,75.65,131.98,140.05,138.56,123.17,75.57,119.7,142.82,69.68,113.78,114.7,68.65,131.76,120.52,122.21,158.42,168.72,91.1,138.27,120.55,94.63,150.24,162.11,87.34,138.46,90.56,150.38,118.14,129.28,131.32,95.18,60.84
4,2014-01-01,132.07,134.28,71.92,123.14,156.14,89.7,132.45,67.33,57.27,157.35,110.53,145.62,47.99,105.44,126.45,72.0,114.88,83.99,156.05,83.6,123.99,92.81,78.47,81.02,82.92,70.69,99.82,56.89,57.4,72.48,161.85,61.09,134.48,119.19,52.21,74.02,128.29,136.25,134.72,129.46,78.77,116.51,148.17,73.28,118.26,120.22,66.64,128.85,126.33,127.92,164.94,171.92,91.71,147.54,122.49,96.93,152.0,175.75,91.98,145.78,90.89,155.13,120.44,132.28,135.05,98.81,61.65
5,2015-01-01,127.12,132.15,69.15,129.73,153.0,94.2,128.17,69.76,59.4,164.7,115.72,151.24,50.07,101.71,132.56,75.55,120.95,87.98,151.29,86.59,120.27,90.51,76.8,79.5,81.42,73.65,96.57,59.18,60.32,70.1,168.26,59.99,132.01,116.96,51.07,72.73,124.02,132.8,140.93,126.92,76.95,121.5,155.01,76.36,124.39,126.01,69.02,124.98,131.48,134.08,178.62,177.13,94.12,154.77,129.06,102.95,160.07,176.4,95.42,153.35,94.04,154.03,127.45,129.77,137.75,101.23,61.0
6,2016-01-01,135.94,138.25,66.23,126.69,150.32,97.75,124.86,68.41,58.11,172.27,119.96,147.96,52.44,98.44,138.32,73.22,118.65,91.22,146.51,90.58,125.45,93.92,80.28,82.99,79.37,72.2,94.09,62.14,58.99,72.98,164.3,62.43,138.64,121.87,49.8,70.97,120.4,130.17,147.42,123.2,75.46,126.08,163.3,80.42,121.09,123.34,72.12,120.67,128.47,140.81,182.18,180.89,101.15,153.36,135.59,108.78,160.35,181.65,102.71,161.48,97.69,155.86,131.51,141.95,149.37,101.17,60.27
7,2017-01-01,146.83,148.65,70.42,132.97,156.52,95.42,122.67,66.33,61.07,168.11,116.22,153.65,50.78,94.97,133.85,76.47,122.93,95.83,153.39,88.55,130.22,98.33,78.7,86.07,83.04,75.5,98.6,64.65,62.09,70.99,158.45,60.96,145.35,128.27,48.43,68.8,118.26,137.16,142.64,127.64,73.26,131.69,171.83,83.7,117.31,128.6,75.49,126.93,126.04,143.78,190.55,193.57,107.17,159.64,139.29,118.5,166.15,185.07,101.33,169.74,97.64,154.14,137.32,145.37,152.47,102.23,60.21
8,2018-01-01,143.82,143.67,67.92,139.45,162.89,100.12,119.31,69.84,64.31,174.66,112.86,161.81,49.21,92.4,139.14,74.23,120.56,99.62,149.91,85.78,125.87,95.21,76.48,84.21,87.44,79.12,95.35,67.48,60.43,73.88,164.12,63.93,153.15,133.32,50.23,72.22,115.13,143.16,150.22,133.19,76.6,127.45,180.04,86.75,114.04,133.82,78.36,132.17,130.77,142.52,190.58,193.05,116.48,165.93,147.95,121.6,173.85,188.59,109.98,181.46,96.95,159.56,138.39,150.9,153.63,105.59,59.82
9,2019-01-01,150.51,139.57,72.34,145.2,157.94,96.56,115.76,68.0,67.04,170.59,110.0,168.84,47.89,89.83,135.78,72.67,118.1,104.29,157.56,89.81,121.87,93.25,74.49,87.62,91.28,82.77,93.18,65.65,63.48,72.55,160.44,66.71,160.27,139.39,49.34,75.93,119.62,149.4,155.82,129.99,74.99,133.69,175.16,89.97,120.12,130.08,76.73,127.95,128.3,150.22,207.52,191.68,119.19,170.7,156.98,125.88,181.84,193.37,114.68,179.91,99.0,161.97,140.76,156.31,163.22,109.12,61.41
10,2020-01-01,148.68,147.21,69.23,152.93,165.12,100.32,120.0,66.65,70.29,167.1,115.7,163.74,49.7,86.74,142.34,70.55,115.17,100.81,154.46,93.81,118.24,90.08,77.41,92.25,88.18,80.96,97.08,68.34,65.76,76.12,156.72,65.18,155.58,144.66,48.47,78.83,117.24,156.79,162.03,125.49,77.74,140.43,182.92,86.89,116.12,136.23,80.06,133.31,124.41,163.38,225.61,193.57,130.29,174.82,161.32,134.62,191.25,200.92,115.27,186.54,102.47,172.13,145.89,161.92,176.24,109.28,61.47
11,2021-01-01,161.73,156.66,72.69,147.62,161.75,105.33,116.45,64.29,73.72,175.59,111.97,171.6,51.97,90.39,149.16,73.77,112.44,97.61,160.33,90.55,124.1,88.46,75.73,90.02,86.59,84.04,100.72,66.36,63.94,74.34,163.9,68.47,163.2,140.15,50.29,82.77,114.62,163.04,168.52,130.75,75.07,136.63,190.52,85.28,120.98,142.85,83.05,129.46,120.8,170.03,243.17,208.38,134.03,178.78,169.21,141.86,194.35,219.07,118.29,198.64,105.3,179.9,150.84,162.04,173.34,110.05,62.01
12,2022-01-01,159.32,156.53,76.31,144.52,168.29,102.98,122.12,62.93,72.31,170.83,109.43,180.77,50.12,93.74,144.83,71.59,118.09,95.06,155.72,88.53,129.28,92.78,74.34,86.99,85.07,81.39,98.69,68.81,61.87,71.73,159.27,72.05,157.59,136.15,48.87,80.04,118.83,170.75,176.01,135.89,72.47,143.72,185.84,88.45,125.95,148.45,81.19,126.23,126.23,171.08,254.06,217.85,144.81,189.75,183.73,146.43,199.35,222.65,126.51,215.64,112.03,181.73,153.38,177.78,171.57,113.68,61.63
13,2023-01-01,169.58,156.49,75.45,151.73,175.17,100.48,128.11,66.07,70.64,164.82,105.97,177.48,48.73,92.09,152.32,75.4,115.94,98.52,163.43,85.55,135.3,89.9,71.95,90.12,88.32,85.05,102.95,67.02,64.92,75.04,165.25,74.66,164.21,142.45,51.1,84.05,116.54,177.8,172.38,143.04,75.39,149.29,181.93,86.24,123.72,155.35,84.85,132.55,123.36,183.28,265.32,226.0,143.21,196.29,198.06,146.45,198.6,235.06,129.89,223.39,111.74,184.78,159.27,193.46,174.52,114.47,64.02
